config,media,mediana,max,min
0_pc0.6_pm0.01_roleta_pop20_gen50_elitTrue_cross,2.06193778310131,2.0625102955468204,2.0626117797171966,2.0597846818497954
1_pc0.6_pm0.01_roleta_pop20_gen50_elitTrue_drop,0.8332194671523747,0.9362442667844738,0.9999510466675992,0.34137029369172633
2_pc0.6_pm0.01_roleta_pop20_gen50_elitFalse_cross,2.057980663798527,2.059511107863167,2.0625304430373563,2.027827833505389
3_pc0.6_pm0.01_roleta_pop20_gen50_elitFalse_drop,0.810105699298617,0.9289231707813341,0.9774762116798895,0.2884725738844337
4_pc0.6_pm0.01_roleta_pop20_gen100_elitTrue_cross,2.0618248256468616,2.061438459586549,2.0626118702521774,2.060409196930451
5_pc0.6_pm0.01_roleta_pop20_gen100_elitTrue_drop,0.8480023345559037,0.936245239535153,0.9999983119272745,0.28881200326444517
6_pc0.6_pm0.01_roleta_pop20_gen100_elitFalse_cross,2.059023995875686,2.060676167811863,2.0626034052593014,2.0499648193920654
7_pc0.6_pm0.01_roleta_pop20_gen100_elitFalse_drop,0.8722342100572623,0.9322133251372082,0.9445065391621297,0.6104845079753034
8_pc0.6_pm0.01_roleta_pop50_gen50_elitTrue_cross,2.062156617602068,2.0625664488011446,2.0626118559651045,2.0602462137209354
9_pc0.6_pm0.01_roleta_pop50_gen50_elitTrue_drop,0.9277351233236448,0.9362453020294726,0.9999915596555015,0.6403247458501394
10_pc0.6_pm0.01_roleta_pop50_gen50_elitFalse_cross,2.0598151779056106,2.0604032005282997,2.062559095250301,2.052638466558513
11_pc0.6_pm0.01_roleta_pop50_gen50_elitFalse_drop,0.9030751202886108,0.9357920568947261,0.9362439585586378,0.7431873119843402
12_pc0.6_pm0.01_roleta_pop50_gen100_elitTrue_cross,2.0621824592022295,2.062610811222222,2.0626118702521774,2.060429500175043
13_pc0.6_pm0.01_roleta_pop50_gen100_elitTrue_drop,0.9325874476758541,0.9362453168970784,0.9999983119272745,0.785751319718972
14_pc0.6_pm0.01_roleta_pop50_gen100_elitFalse_cross,2.0592539885390777,2.060459995291053,2.062605598552826,2.045681994856668
15_pc0.6_pm0.01_roleta_pop50_gen100_elitFalse_drop,0.9069385248008532,0.9362204021215497,0.9952993975640781,0.6453184310273768
16_pc0.6_pm0.01_roleta_pop100_gen50_elitTrue_cross,2.062562358986652,2.062610993062978,2.062611862753255,2.0614384863602613
17_pc0.6_pm0.01_roleta_pop100_gen50_elitTrue_drop,0.9212060555527427,0.9362453180373421,0.9999983119272745,0.6194994146502208
18_pc0.6_pm0.01_roleta_pop100_gen50_elitFalse_cross,2.0610202570465828,2.0620372469340644,2.0625968116194926,2.052929710879554
19_pc0.6_pm0.01_roleta_pop100_gen50_elitFalse_drop,0.9314632317402805,0.9362264428573774,0.998864359553354,0.7857432838557297
20_pc0.6_pm0.01_roleta_pop100_gen100_elitTrue_cross,2.062606550221532,2.0626117797171966,2.0626118702521774,2.0624681717466675
21_pc0.6_pm0.01_roleta_pop100_gen100_elitTrue_drop,0.9389245103432812,0.9362453254070235,0.9999983119272745,0.7857513292920454
22_pc0.6_pm0.01_roleta_pop100_gen100_elitFalse_cross,2.0612852260986587,2.0622991943521694,2.062580373598393,2.0540084389188524
23_pc0.6_pm0.01_roleta_pop100_gen100_elitFalse_drop,0.9097424701848941,0.9362201121324272,0.999653985088527,0.6194876926940808
24_pc0.6_pm0.01_torneio_pop20_gen50_elitTrue_cross,2.0566939858851483,2.0614384913425607,2.0626117824106838,1.907184739405856
